 Sirius Chiron 8 Feb 2021 100 exposures
 Wavelength    Intensity
  5262.7800     0.993463
  5262.8000     0.990962
  5262.8200     0.991979
  5262.8400     0.991008
  5262.8600     0.991031
  5262.8800     0.991659
  5262.9000     0.990860
  5262.9200     0.989512
  5262.9400     0.989832
  5262.9600     0.991099
  5262.9800     0.989992
  5263.0000     0.990426
  5263.0200     0.988644
  5263.0400     0.986098
  5263.0600     0.987753
  5263.0800     0.987160
  5263.1000     0.984202
  5263.1200     0.983094
  5263.1400     0.980913
  5263.1600     0.978264
  5263.1800     0.975694
  5263.2000     0.974472
  5263.2200     0.973490
  5263.2400     0.971732
  5263.2600     0.970144
  5263.2800     0.969117
  5263.3000     0.972805
  5263.3200     0.975135
  5263.3400     0.975409
  5263.3600     0.976071
  5263.3800     0.974621
  5263.4000     0.974552
  5263.4200     0.973673
  5263.4400     0.972383
  5263.4600     0.972862
  5263.4800     0.972189
  5263.5000     0.972554
  5263.5200     0.972645
  5263.5400     0.974153
  5263.5600     0.973673
  5263.5800     0.975466
  5263.6000     0.975877
  5263.6200     0.979805
  5263.6400     0.980822
  5263.6600     0.980845
  5263.6800     0.983174
  5263.7000     0.985275
  5263.7200     0.987514
  5263.7400     0.987902
  5263.7600     0.987525
  5263.7800     0.987308
  5263.8000     0.988027
  5263.8200     0.987000
  5263.8400     0.985881
  5263.8600     0.984876
  5263.8800     0.985858
  5263.9000     0.982203
  5263.9200     0.981370
  5263.9400     0.977670
  5263.9600     0.975272
  5263.9800     0.970270
  5264.0000     0.963989
  5264.0200     0.958188
  5264.0400     0.954648
  5264.0600     0.948767
  5264.0800     0.944039
  5264.1000     0.938592
  5264.1200     0.935018
  5264.1400     0.928509
  5264.1600     0.928452
  5264.1800     0.924923
  5264.2000     0.924580
  5264.2200     0.920698
  5264.2400     0.919453
  5264.2600     0.920218
  5264.2800     0.919339
  5264.3000     0.916587
  5264.3200     0.918323
  5264.3400     0.918026
  5264.3600     0.922696
  5264.3800     0.924957
  5264.4000     0.926933
  5264.4200     0.932015
  5264.4400     0.936160
  5264.4600     0.944816
  5264.4800     0.950423
  5264.5000     0.955014
  5264.5200     0.957697
  5264.5400     0.959159
  5264.5600     0.959479
  5264.5800     0.956464
  5264.6000     0.950103
  5264.6200     0.942989
  5264.6400     0.932665
  5264.6600     0.923496
  5264.6800     0.912704
  5264.7000     0.903454
  5264.7200     0.896328
  5264.7400     0.892172
  5264.7600     0.885651
  5264.7800     0.879793
  5264.8000     0.876675
  5264.8200     0.874209
  5264.8400     0.871959
  5264.8600     0.870874
  5264.8800     0.870235
  5264.9000     0.871388
  5264.9200     0.871605
  5264.9400     0.873683
  5264.9600     0.876767
  5264.9800     0.879005
  5265.0000     0.883002
  5265.0200     0.886622
  5265.0400     0.893097
  5265.0600     0.900165
  5265.0800     0.907325
  5265.1000     0.918128
  5265.1200     0.928018
  5265.1400     0.939517
  5265.1600     0.951177
  5265.1800     0.962139
  5265.2000     0.968397
  5265.2200     0.971777
  5265.2400     0.976163
  5265.2600     0.980125
  5265.2800     0.982695
  5265.3000     0.985344
  5265.3200     0.985858
  5265.3400     0.985801
  5265.3600     0.987331
  5265.3800     0.987491
  5265.4000     0.987445
  5265.4200     0.987673
  5265.4400     0.989067
